kernel_name,Hits,Samples,nccl_input_message_size (avg),nccl_message_group_size (avg),nccl_output_message_size (avg)
"ncclDevKernel_SendRecv(ncclDevComm*, unsigned long, ncclWork*)",32610852,32610852,51363516,82.53632156,51366588.54
"ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm*, unsigned long, ncclWork*)",17845093,17845093,45644907.71,81.69099287,45630597.48
"ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",1841283,1841283,218125012.9,75.93087211,218125012.9
"ncclDevKernel_Broadcast_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",1828163,1828163,75279871.99,18.87298671,859507758.4
"ncclDevKernel_Reduce_Sum_f16_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",1570427,1570427,638873057.7,18.04619508,66314823.79
"ncclDevKernel_AllReduce_Sum_f32_TREE_LL(ncclDevComm*, unsigned long, ncclWork*)",1563502,1563502,24748994.98,118.7177605,24748994.98
"ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",960381,960381,224309827.7,45.21856326,224309827.7
"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",666346,666346,57715605.52,72.17683906,1000646044
"ncclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm*, unsigned long, ncclWork*)",640052,640052,58649373.32,59.24308337,1438236725
"ncclKernel_AllReduce_TREE_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",621606,621606,65339844.71,296.4873505,65339844.71
"ncclKernel_Broadcast_RING_LL_Sum_int8_t(ncclDevComm*, unsigned long, ncclWork*)",418557,418557,98785959.87,12.53186543,862307225.9
"ncclDevKernel_ReduceScatter_Sum_f16_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",314969,314969,653326648.1,55.93041855,41441177.09
"ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",300868,300868,1950744629,21.63542816,118907843
"ncclKernel_Reduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",207176,207176,1285465282,8.845696413,155284187.5
"ncclKernel_Reduce_RING_LL_Sum_half(ncclDevComm*, unsigned long, ncclWork*)",177362,177362,625672011.3,18.2337141,50444761.64
"ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",146789,146789,1060938944,38.70715108,101548078.1
"ncclKernel_ReduceScatter_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",121859,121859,1370136256,14.59956179,137476863.8
"ncclKernel_ReduceScatter_RING_LL_Sum___nv_bfloat16(ncclDevComm*, unsigned long, ncclWork*)",111883,111883,2465716499,181.0784838,18324330.62
"ncclDevKernel_AllReduce_Sum_u64_TREE_LL(ncclDevComm*, unsigned long, ncclWork*)",103245,103245,7.999767543,46.44602644,7.999767543
"ncclKernel_AllReduce_RING_LL_Sum___nv_bfloat16(ncclDevComm*, unsigned long, ncclWork*)",72975,72975,72874139.68,12.82959918,72874139.68
